Marker_name	Gene_symbol	protein_control	protein_stim	log2_protein_change	diff_protein_CLR	rna_control	rna_stim	log2_rna_change	atac_control	atac_stim	log2_atac_change
CD253	TNFSF10	543.8	622.4	0.194431451613297	0.315079744977093	95.27	109.1	0.193656273448768	95.33	97.7	0.0350649188968339
CD186	CXCR6	789.83	605.41	-0.383074056035413	0.0548527988107363	6	6.79	0.15426840622934	30.84	34.48	0.156165673757415
CD226	CD226	2683.86	2969.96	0.146082319419261	0.354496139077849	22.58	47.5	1.04042102898209	223.82	283.35	0.338897420789325
CD205	LY75	1713.45	1682.65	-0.0261535706179173	0.317341188526115	9.87	6.79	-0.48065670696564	102.3	102.58	0.00390520937842644
CCR10	CCR10	1692.7	1232.3	-0.457654579318741	-0.0010885341501965	0.45	0.2	-0.273018494406416	17.94	16.12	-0.145753629067238
CD271	NGFR	958.96	922.86	-0.0553000473659602	0.236472384859644	0.1	0.08	-0.0264722113611911	18.5	17.59	-0.0689473537174914
CD109	CD109	9094.53	6396.55	-0.507638189035942	-0.00989437267580087	1.39	9.09	2.07784365112561	45.9	77.48	0.7427371188165
CD11a/CD18	ITGAL	493.56	379.12	-0.379690624764694	0.0699270849243559	58.11	57.57	-0.0132403261413735	80.23	93.77	0.222417793425487
CD126	IL6R	1361.8	600.47	-1.18000916669224	-0.395818997804052	27.89	8.82	-1.55677527424992	145.31	144.69	-0.00612652239418466
GP130	IL6ST	840.57	531.94	-0.659110157698897	-0.0817961572673955	92.89	60.93	-0.600333061997501	128.21	129.7	0.0165414117197806
CD164	CD164	188.25	259.09	0.458717631066242	0.347781996772686	116.02	134.71	0.213771908606032	107.98	111.45	0.0452202650886519
CD142	F3	1399.46	3124.42	1.15814929727764	0.673288082913107	0.2	0.16	-0.0489096004809464	4.89	10.85	1.00854751995516
CD307c/FcRL3	FCRL3	542.61	444.91	-0.285819441539195	0.0979257206152886	3.42	3.01	-0.140444132936511	11.01	10.05	-0.12018978142684
CD307d	FCRL4	490.73	340.2	-0.527248728699472	0.00974974270914886	0	0.04	0.0565835283663675	2.68	4.32	0.531720479444177
CD307e	FCRL5	4581.09	2982.95	-0.618782434346271	-0.0468522119381879	0.05	0.04	-0.0138057995250304	3.52	3.49	-0.00960732767404054
CD319	SLAMF7	302.87	348.57	0.20212712870348	0.26611115952008	8.39	14.09	0.684395742872909	29.6	44.8	0.581815945404292
CD138-2	SDC1	812.97	589.73	-0.462476742388783	0.00744227416885051	0	0	0	5.29	9.2	0.697437229979569
CD199	CCR9	1120.04	825.82	-0.439192564347097	0.0467700656939633	1.49	0	-1.31614574229336	10.69	10.02	-0.0851507059604987
CD45RB	PTPRC	8102.62	6447.56	-0.329589489449441	0.138399058722401	1576.48	962.49	-0.711280116114619	409.42	417.81	0.0291948541553438
CD99	CD99	6021.86	5051.94	-0.253325675095495	0.256936541751305	126.73	101.64	-0.315504335703478	120.8	126.89	0.070389327891398
CLEC12A	CLEC12A	683.38	526.22	-0.376392500028182	0.0757666582388784	0.1	0.04	-0.0809199953835675	31.44	27.47	-0.188331326475007
CD46	CD46	2562.76	2110.28	-0.280143290990397	0.0887922353757717	131.99	91.73	-0.520209708307041	57.52	54.2	-0.0842615024729555
VEGFR3	FLT4	407.61	317.49	-0.359476436664885	0.07538478792792	0.69	0.35	-0.324063839231353	21.35	18.28	-0.213169779840718
CLEC1B	CLEC1B	584.86	584.79	-0.000172387066073338	0.291323465389471	0	0	0	6.65	7.84	0.208586621811417
